Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
517,Zach Cole*,25,HOU,AL,-0.1,19,53,51,4,8,1,0,3,8,0,0,1,21,.157,.189,.353,.542,50,.235,43,18,0,1,0,0,0,7/8H9D,,coleza01
518,Billy Cook,27,PIT,NL,-0.3,80,53,51,12,9,1,1,0,2,6,1,1,20,.176,.208,.235,.443,20,.212,4,12,0,1,0,0,0,8H97/3D,,cookbi01
519,Walker Jenkins*,21,MIN,AL,-0.5,16,53,45,5,4,2,0,1,5,1,1,6,16,.089,.212,.200,.412,17,.195,15,9,1,1,1,0,0,8/DH,,jenkiwa01
520,Eric Wagaman,28,NYM,NL,-0.3,26,52,47,5,9,0,0,2,5,0,0,4,12,.191,.269,.319,.588,65,.265,63,15,1,1,0,0,0,H3/D579,,wagamer01
521,Chadwick Tromp,31,2TM,2LG,-0.5,21,51,49,2,8,1,0,0,4,0,0,0,13,.163,.160,.184,.344,-4,.150,-23,9,3,0,1,1,0,2/1,,trompch01
521,Chadwick Tromp,31,ATL,NL,-0.2,12,27,25,1,5,1,0,0,3,0,0,0,7,.200,.192,.240,.432,19,.183,-5,6,0,0,1,1,0,2,,trompch01
521,Chadwick Tromp,31,BAL,AL,-0.4,9,24,24,1,3,0,0,0,1,0,0,0,6,.125,.125,.125,.250,-28,.113,-43,3,3,0,0,0,0,/21,,trompch01
522,Orlando Arcia,31,MIN,AL,0.0,19,50,48,6,13,1,0,1,2,0,1,2,8,.271,.300,.354,.654,84,.279,79,17,3,0,0,0,0,6/4H351,,arciaor01
523,Jhostynxon García,23,PIT,NL,-0.8,20,50,48,2,8,1,0,0,2,0,0,1,16,.167,.200,.188,.388,6,.178,-8,9,1,1,0,0,0,8/79DH,,garcijh01
524,Ronny Mauricio#,25,NYM,NL,-0.6,17,50,50,4,9,1,0,1,2,0,0,0,18,.180,.180,.260,.440,22,.190,9,13,1,0,0,0,0,6/5H4D,,mauriro01
525,John Peck,23,DET,AL,0.2,15,50,41,3,9,1,0,0,7,4,0,6,10,.220,.340,.244,.584,68,.317,83,10,2,2,0,1,0,6,,peckjo01
526,Patrick Wisdom,34,SEA,AL,-0.7,19,50,47,3,5,1,0,1,4,0,0,3,21,.106,.160,.191,.351,2,.151,-14,9,0,0,0,0,1,5/3HD,,wisdopa01
527,Bryce Johnson#,30,SDP,NL,-0.1,32,49,45,5,8,2,0,0,2,5,1,3,18,.178,.229,.222,.451,28,.222,20,10,1,0,1,0,0,H/978D,,johnsbr03
528,Buddy Kennedy,27,2TM,2LG,-0.4,25,49,43,4,5,1,0,0,1,0,0,5,15,.116,.224,.140,.364,7,.202,20,6,0,1,0,0,0,5/H4D13,,kennebu01
