pitcher,pitch_type,n,naive_in,inferred_in
Andrew Abbott,ST,398,10.52820501696107,10.537953163194633
Andrew Chafin,ALL,941,12.785087215897128,9.674630458409373
Andrew Chafin,FF,140,10.660417933976198,10.165632775053421
Andrew Chafin,SI,373,8.765217417672563,7.560067381977242
Andrew Chafin,SL,428,18.535595801554486,10.717975897771101
Andrew Heaney,ALL,2620,9.887915494464794,9.072943551245327
Andrew Heaney,CH,440,9.93429504724645,9.400898550229023
Andrew Heaney,CS,3,5.138523129184347,3.9062167403115615
Andrew Heaney,CU,90,10.916254120033482,10.14241161467957
Andrew Heaney,FC,4,8.627963983056564,9.032219866753115
Andrew Heaney,FF,1337,9.565746091829268,8.69926204466126
Andrew Heaney,SI,12,14.309635628264578,12.715092799256091
Andrew Heaney,SL,718,10.339904502937436,9.072696441790658
Andrew Heaney,SV,16,11.117695528115927,10.932547869774165
Andrew Kittredge,ALL,968,9.618562393514646,9.070714178313109
Andrew Kittredge,CH,1,19.583486447744885,23.14725436675845
Andrew Kittredge,FF,120,8.393068437817615,7.75610063252715
Andrew Kittredge,SI,355,10.077829222719322,9.604912685265834
Andrew Kittredge,SL,492,9.562995177643513,8.974466851555075
Andrew Knizner,ALL,21,26.46151976748936,10.710883514374581
Andrew Knizner,EP,20,26.83225470467219,10.579094730258042
Andrew Knizner,FA,1,25.052586815625602,33.181027332626755
Andrew Nardi,ALL,863,10.541226353838505,9.517791302974283
Andrew Nardi,CH,7,17.495881490903237,11.827855622394972
Andrew Nardi,FF,529,9.858524484463741,8.90533272234483
Andrew Nardi,SL,6,12.552473223259039,8.122044298427348
Andrew Nardi,ST,321,12.008757152582376,10.86062575291837
Andrew Saalfrank,ALL,26,15.017545373460713,15.03248581114458
Andrew Saalfrank,CU,7,24.58126690240887,25.697264677215323
Andrew Saalfrank,SI,19,11.690839536957277,9.516778811022022
Andrew Walters,ALL,178,12.044267728777527,11.386476337976019
Andrew Walters,FF,122,11.433462356971042,11.161446509248023
Andrew Walters,SL,56,13.119721402638195,12.826912722785956
Andrew Wantz,ALL,35,15.143872983615076,9.74682380676648
Andrew Wantz,FC,8,10.447190543166549,10.478812807050218
Andrew Wantz,FF,7,16.27815990630076,15.263236074539925
Andrew Wantz,SI,10,13.091397697263353,8.827105649555225
Andrew Wantz,ST,10,13.909587265800354,9.675659324139659
Andrés Muñoz,ALL,864,14.005823085362342,9.729404402759105
Andrés Muñoz,FF,276,10.745717593196641,9.890880209571188
Andrés Muñoz,SI,178,17.342386145331396,10.373875494542759
Andrés Muñoz,SL,410,14.316767722947624,9.624078888177987
Angel Chivilli,ALL,496,10.239224724619215,9.750073674612374
Angel Chivilli,CH,199,9.29058978443387,9.016368561393952
Angel Chivilli,FF,207,11.372779593422935,10.860520741588251
Angel Chivilli,SL,90,10.22521176898292,9.426201482178039
Angel Zerpa,ALL,991,10.82426867615272,9.908164054754595
Angel Zerpa,CH,101,11.053714238781305,10.357138704189426
Angel Zerpa,CU,4,28.449237037682085,24.435901235648387
Angel Zerpa,FF,187,12.001544171660816,10.869146854844711
Angel Zerpa,SI,443,10.569034516919983,8.920074595482768
Angel Zerpa,SL,256,10.200146885159771,9.819555057982829
Anthony Banda,ALL,740,12.09295867909064,9.75369398079533
Anthony Banda,CH,90,8.56998102838666,8.427913893850816
Anthony Banda,CU,5,14.906065893755558,11.311068734108098
Anthony Banda,FF,250,12.798753288509612,9.367223886083988
Anthony Banda,SI,175,13.06163394171781,9.600977789691743
